,page_number,Sheet Number,subject,Scaled Length,x1,y1,x2,y2,NM,ScaleFactor,author,modified_date,xref,Type,AISC_Manual_Label,W,PB
856,4,,"('W10X68',)",0.8533393012,21.8433329264,25.0833333333,21.8433329264,25.190000746,fitz-A456,96,"('W10X68',)",,2809,,,,
857,4,,"('W10X68',)",0.8533393012,21.9533335368,25.0833333333,21.9533335368,25.190000746,fitz-A457,96,"('W10X68',)",,2811,,,,
858,4,,"('W10X68',)",0.8800048828,21.9533335368,25.1366678874,21.8433329264,25.1366678874,fitz-A458,96,"('W10X68',)",,2813,,,,
859,4,,"('W10X68',)",0.8533257378,21.8433329264,28.3333333333,21.8433329264,28.4399990506,fitz-A459,96,"('W10X68',)",,2815,,,,
860,4,,"('W10X68',)",0.8533257378,21.9533335368,28.3333333333,21.9533335368,28.4399990506,fitz-A460,96,"('W10X68',)",,2817,,,,
861,4,,"('W10X68',)",0.8800048828,21.9533335368,28.3866678874,21.8433329264,28.3866678874,fitz-A461,96,"('W10X68',)",,2819,,,,
862,4,,"('W10X54',)",0.8266601562,17.6600002713,36.5633341471,17.6600002713,36.6666666667,fitz-A462,96,"('W10X54',)",,2821,,,,
863,4,,"('W10X54',)",0.8266601562,17.7633327908,36.5633341471,17.7633327908,36.6666666667,fitz-A463,96,"('W10X54',)",,2823,,,,
864,4,,"('W10X54',)",0.8266601562,17.7633327908,36.6133321126,17.6600002713,36.6133321126,fitz-A464,96,"('W10X54',)",,2825,,,,
865,4,,"('W10X54',)",0.8266601562,17.6600002713,30.7100016276,17.6600002713,30.8133341471,fitz-A465,96,"('W10X54',)",,2827,,,,
866,4,,"('W10X54',)",0.8266601562,17.7633327908,30.7100016276,17.7633327908,30.8133341471,fitz-A466,96,"('W10X54',)",,2829,,,,
867,4,,"('W10X54',)",0.8266601562,17.7633327908,30.7599995931,17.6600002713,30.7599995931,fitz-A467,96,"('W10X54',)",,2831,,,,
868,4,,"('W10X54',)",0.8266601562,17.6600002713,28.3333333333,17.6600002713,28.4366658529,fitz-A468,96,"('W10X54',)",,2833,,,,
869,4,,"('W10X54',)",0.8266601562,17.7633327908,28.3333333333,17.7633327908,28.4366658529,fitz-A469,96,"('W10X54',)",,2835,,,,
870,4,,"('W10X54',)",0.8266601562,17.7633327908,28.3866678874,17.6600002713,28.3866678874,fitz-A470,96,"('W10X54',)",,2837,,,,
871,4,,"('W10X54',)",0.8266601562,17.6600002713,33.9600016276,17.6600002713,34.0633341471,fitz-A471,96,"('W10X54',)",,2839,,,,
872,4,,"('W10X54',)",0.8266601562,17.7633327908,33.9600016276,17.7633327908,34.0633341471,fitz-A472,96,"('W10X54',)",,2841,,,,
